ID,YEAR,SEASON,CITY
1,1896,Summer,Athens
2,1900,Summer,Paris
3,1904,Summer,St Louis
4,1908,Summer,London
5,1912,Summer,Stockholm
6,1920,Summer,Antwerp
7,1924,Summer,Paris
8,1928,Summer,Amsterdam
9,1932,Summer,Los Angeles
10,1936,Summer,Berlin
11,1948,Summer,London
12,1952,Summer,Helsinki
13,1956,Summer,Melbourne / Stockholm
14,1960,Summer,Rome
15,1964,Summer,Tokyo
16,1968,Summer,Mexico
17,1972,Summer,Munich
18,1976,Summer,Montreal
19,1980,Summer,Moscow
20,1984,Summer,Los Angeles
21,1988,Summer,Seoul
22,1992,Summer,Barcelona
23,1996,Summer,Atlanta
24,2000,Summer,Sydney
25,2004,Summer,Athens
26,2008,Summer,Beijing
